"","lake","round","location","direction","date_in","time_in","date_out","time_out","daysin","mayfly","fish","basin","lake_fish"
"104","WRIGHT1","2","X","W",2015-07-19 13:00:00,"13:00",2015-08-17 15:05:00,"15:05",29,1,"fishless","WRIGHT","WRIGHT fishless"
"105","WRIGHT2","2","SM","N",2015-07-19 12:30:00,"12:30",2015-08-17 13:12:00,"13:12",29,0,"fish","WRIGHT","WRIGHT fish"
"106","WRIGHT2","2","SM","S",2015-07-19 12:30:00,"12:30",2015-08-17 13:12:00,"13:12",29,0,"fish","WRIGHT","WRIGHT fish"
"107","WRIGHT2","2","SM","E",2015-07-19 12:30:00,"12:30",2015-08-17 13:12:00,"13:12",29,0,"fish","WRIGHT","WRIGHT fish"
"108","WRIGHT2","2","SM","W",2015-07-19 12:30:00,"12:30",2015-08-17 13:12:00,"13:12",29,0,"fish","WRIGHT","WRIGHT fish"
"109","WRIGHT2","2","X","N",2015-07-19 12:30:00,"12:30",2015-08-17 12:55:00,"12:55",29,0,"fish","WRIGHT","WRIGHT fish"
"110","WRIGHT2","2","X","S",2015-07-19 12:30:00,"12:30",2015-08-17 12:55:00,"12:55",29,0,"fish","WRIGHT","WRIGHT fish"
"111","WRIGHT2","2","X","E",2015-07-19 12:30:00,"12:30",2015-08-17 12:55:00,"12:55",29,0,"fish","WRIGHT","WRIGHT fish"
"112","WRIGHT2","2","X","W",2015-07-19 12:30:00,"12:30",2015-08-17 12:55:00,"12:55",29,0,"fish","WRIGHT","WRIGHT fish"
"113","UPKERN1","2","SM","N",2015-07-21 08:15:00,"8:15",2015-08-14 10:31:00,"10:31",24,0,"fishless","UPKERN","UPKERN fishless"
"114","UPKERN1","2","SM","S",2015-07-21 08:15:00,"8:15",2015-08-14 10:31:00,"10:31",24,0,"fishless","UPKERN","UPKERN fishless"
"115","UPKERN1","2","SM","E",2015-07-21 08:15:00,"8:15",2015-08-14 10:31:00,"10:31",24,0,"fishless","UPKERN","UPKERN fishless"
"116","UPKERN1","2","SM","W",2015-07-21 08:15:00,"8:15",2015-08-14 10:31:00,"10:31",24,0,"fishless","UPKERN","UPKERN fishless"
"117","UPKERN1","2","X","N",2015-07-21 08:15:00,"8:15",2015-08-14 10:27:00,"10:27",24,0,"fishless","UPKERN","UPKERN fishless"
"118","UPKERN1","2","X","S",2015-07-21 08:15:00,"8:15",2015-08-14 10:27:00,"10:27",24,0,"fishless","UPKERN","UPKERN fishless"
"119","UPKERN1","2","X","E",2015-07-21 08:15:00,"8:15",2015-08-14 10:27:00,"10:27",24,0,"fishless","UPKERN","UPKERN fishless"
"120","UPKERN1","2","X","W",2015-07-21 08:15:00,"8:15",2015-08-14 10:27:00,"10:27",24,0,"fishless","UPKERN","UPKERN fishless"
"121","UPKERN2","2","SM","N",2015-07-21 10:30:00,"10:30",2015-08-14 09:32:00,"9:32",24,0,"fish","UPKERN","UPKERN fish"
"122","UPKERN2","2","SM","S",2015-07-21 10:30:00,"10:30",2015-08-14 09:32:00,"9:32",24,0,"fish","UPKERN","UPKERN fish"
"123","UPKERN2","2","SM","E",2015-07-21 10:30:00,"10:30",2015-08-14 09:32:00,"9:32",24,0,"fish","UPKERN","UPKERN fish"
"124","UPKERN2","2","SM","W",2015-07-21 10:30:00,"10:30",2015-08-14 09:32:00,"9:32",24,0,"fish","UPKERN","UPKERN fish"
"125","UPKERN2","2","X","N",2015-07-21 10:30:00,"10:30",2015-08-14 09:23:00,"9:23",24,0,"fish","UPKERN","UPKERN fish"
"126","UPKERN2","2","X","S",2015-07-21 10:30:00,"10:30",2015-08-14 09:23:00,"9:23",24,0,"fish","UPKERN","UPKERN fish"
"127","UPKERN2","2","X","E",2015-07-21 10:30:00,"10:30",2015-08-14 09:23:00,"9:23",24,0,"fish","UPKERN","UPKERN fish"
"128","UPKERN2","2","X","W",2015-07-21 10:30:00,"10:30",2015-08-14 09:23:00,"9:23",24,0,"fish","UPKERN","UPKERN fish"
"129","AMPHIT1","2","SM","N",2015-07-06 11:50:00,"11:50",2015-08-03 11:45:00,"11:45",28,1,"fishless","AMPHIT","AMPHIT fishless"
"130","AMPHIT1","2","SM","S",2015-07-06 11:50:00,"11:50",2015-08-03 11:45:00,"11:45",28,3,"fishless","AMPHIT","AMPHIT fishless"
"131","AMPHIT1","2","SM","E",2015-07-06 11:50:00,"11:50",2015-08-03 11:45:00,"11:45",28,2,"fishless","AMPHIT","AMPHIT fishless"
"132","AMPHIT1","2","SM","W",2015-07-06 11:50:00,"11:50",2015-08-03 11:45:00,"11:45",28,4,"fishless","AMPHIT","AMPHIT fishless"
"133","AMPHIT1","2","X","N",2015-07-06 12:30:00,"12:30",2015-08-03 13:00:00,"13:00",28,5,"fishless","AMPHIT","AMPHIT fishless"
"134","AMPHIT1","2","X","S",2015-07-06 12:30:00,"12:30",2015-08-03 13:00:00,"13:00",28,13,"fishless","AMPHIT","AMPHIT fishless"
"135","AMPHIT1","2","X","E",2015-07-06 12:30:00,"12:30",2015-08-03 13:00:00,"13:00",28,12,"fishless","AMPHIT","AMPHIT fishless"
"136","AMPHIT1","2","X","W",2015-07-06 12:30:00,"12:30",2015-08-03 13:00:00,"13:00",28,9,"fishless","AMPHIT","AMPHIT fishless"
"137","AMPHIT2","2","SM","N",2015-07-06 09:00:00,"9:00",2015-08-03 15:30:00,"15:30",28,0,"fish","AMPHIT","AMPHIT fish"
"138","AMPHIT2","2","SM","S",2015-07-06 09:00:00,"9:00",2015-08-03 15:30:00,"15:30",28,0,"fish","AMPHIT","AMPHIT fish"
"139","AMPHIT2","2","SM","E",2015-07-06 09:00:00,"9:00",2015-08-03 15:30:00,"15:30",28,0,"fish","AMPHIT","AMPHIT fish"
"140","AMPHIT2","2","SM","W",2015-07-06 09:00:00,"9:00",2015-08-03 15:30:00,"15:30",28,0,"fish","AMPHIT","AMPHIT fish"
"141","AMPHIT2","2","X","N",2015-07-06 07:15:00,"7:15",2015-08-03 14:38:00,"14:38",28,0,"fish","AMPHIT","AMPHIT fish"
"142","AMPHIT2","2","X","S",2015-07-06 07:15:00,"7:15",2015-08-03 14:38:00,"14:38",28,0,"fish","AMPHIT","AMPHIT fish"
"143","AMPHIT2","2","X","E",2015-07-06 07:15:00,"7:15",2015-08-03 14:38:00,"14:38",28,0,"fish","AMPHIT","AMPHIT fish"
"144","AMPHIT2","2","X","W",2015-07-06 07:15:00,"7:15",2015-08-03 14:38:00,"14:38",28,0,"fish","AMPHIT","AMPHIT fish"
"145","CENTER1","2","SM","N",2015-07-16 17:00:00,"17:00",2015-08-12 16:48:00,"16:48",27,0,"fishless","CENTER","CENTER fishless"
"146","CENTER1","2","SM","S",2015-07-16 17:00:00,"17:00",2015-08-12 16:48:00,"16:48",27,0,"fishless","CENTER","CENTER fishless"
"147","CENTER1","2","SM","E",2015-07-16 17:00:00,"17:00",2015-08-12 16:48:00,"16:48",27,0,"fishless","CENTER","CENTER fishless"
"148","CENTER1","2","SM","W",2015-07-16 17:00:00,"17:00",2015-08-12 16:48:00,"16:48",27,0,"fishless","CENTER","CENTER fishless"
"149","CENTER1","2","X","N",2015-07-16 17:00:00,"17:00",2015-08-12 17:10:00,"17:10",27,0,"fishless","CENTER","CENTER fishless"
"150","CENTER1","2","X","S",2015-07-16 17:00:00,"17:00",2015-08-12 17:10:00,"17:10",27,0,"fishless","CENTER","CENTER fishless"
"151","CENTER1","2","X","E",2015-07-16 17:00:00,"17:00",2015-08-12 17:10:00,"17:10",27,0,"fishless","CENTER","CENTER fishless"
"152","CENTER1","2","X","W",2015-07-16 17:00:00,"17:00",2015-08-12 17:10:00,"17:10",27,0,"fishless","CENTER","CENTER fishless"
"153","CENTER2","2","SM","N",2015-07-16 19:00:00,"19:00",2015-08-12 16:00:00,"16:00",27,0,"fish","CENTER","CENTER fish"
"154","CENTER2","2","SM","S",2015-07-16 19:00:00,"19:00",2015-08-12 16:00:00,"16:00",27,0,"fish","CENTER","CENTER fish"
"155","CENTER2","2","SM","E",2015-07-16 19:00:00,"19:00",2015-08-12 16:00:00,"16:00",27,0,"fish","CENTER","CENTER fish"
"156","CENTER2","2","SM","W",2015-07-16 19:00:00,"19:00",2015-08-12 16:00:00,"16:00",27,0,"fish","CENTER","CENTER fish"
"157","CENTER2","2","X","N",2015-07-16 19:30:00,"19:30",2015-08-12 16:32:00,"16:32",27,1,"fish","CENTER","CENTER fish"
"158","CENTER2","2","X","S",2015-07-16 19:30:00,"19:30",2015-08-12 16:32:00,"16:32",27,0,"fish","CENTER","CENTER fish"
"159","CENTER2","2","X","E",2015-07-16 19:30:00,"19:30",2015-08-12 16:32:00,"16:32",27,0,"fish","CENTER","CENTER fish"
"160","CENTER2","2","X","W",2015-07-16 19:30:00,"19:30",2015-08-12 16:32:00,"16:32",27,0,"fish","CENTER","CENTER fish"
"161","BARRET1","3","SM","N",2015-08-04 14:50:00,"14:50",2015-09-10 09:45:00,"9:45",37,0,"fishless","BARRET","BARRET fishless"
"162","BARRET1","3","SM","S",2015-08-04 14:50:00,"14:50",2015-09-10 09:45:00,"9:45",37,0,"fishless","BARRET","BARRET fishless"
"163","BARRET1","3","SM","E",2015-08-04 14:50:00,"14:50",2015-09-10 09:45:00,"9:45",37,0,"fishless","BARRET","BARRET fishless"
"164","BARRET1","3","SM","W",2015-08-04 14:50:00,"14:50",2015-09-10 09:45:00,"9:45",37,0,"fishless","BARRET","BARRET fishless"
"165","BARRET1","3","X","N",2015-08-04 15:25:00,"15:25",2015-09-10 09:35:00,"9:35",37,0,"fishless","BARRET","BARRET fishless"
"166","BARRET1","3","X","S",2015-08-04 15:25:00,"15:25",2015-09-10 09:35:00,"9:35",37,0,"fishless","BARRET","BARRET fishless"
"167","BARRET1","3","X","E",2015-08-04 15:25:00,"15:25",2015-09-10 09:35:00,"9:35",37,0,"fishless","BARRET","BARRET fishless"
"168","BARRET1","3","X","W",2015-08-04 15:25:00,"15:25",2015-09-10 09:35:00,"9:35",37,0,"fishless","BARRET","BARRET fishless"
"169","BARRET2","3","SM","N",2015-08-04 12:40:00,"12:40",2015-09-10 09:30:00,"9:30",37,0,"fish","BARRET","BARRET fish"
"170","BARRET2","3","SM","S",2015-08-04 12:40:00,"12:40",2015-09-10 09:30:00,"9:30",37,0,"fish","BARRET","BARRET fish"
"171","BARRET2","3","SM","E",2015-08-04 12:40:00,"12:40",2015-09-10 09:30:00,"9:30",37,0,"fish","BARRET","BARRET fish"
"172","BARRET2","3","SM","W",2015-08-04 12:40:00,"12:40",2015-09-10 09:30:00,"9:30",37,0,"fish","BARRET","BARRET fish"
"173","BARRET2","3","X","N",2015-08-04 13:10:00,"13:10",2015-09-10 09:30:00,"9:30",37,0,"fish","BARRET","BARRET fish"
"174","BARRET2","3","X","S",2015-08-04 13:10:00,"13:10",2015-09-10 09:30:00,"9:30",37,0,"fish","BARRET","BARRET fish"
"175","BARRET2","3","X","E",2015-08-04 13:10:00,"13:10",2015-09-10 09:30:00,"9:30",37,0,"fish","BARRET","BARRET fish"
"176","BARRET2","3","X","W",2015-08-04 13:10:00,"13:10",2015-09-10 09:30:00,"9:30",37,0,"fish","BARRET","BARRET fish"
"177","WRIGHT1","3","SM","N",2015-08-17 15:16:00,"15:16",2015-09-03 13:30:00,"13:30",17,0,"fishless","WRIGHT","WRIGHT fishless"
"178","WRIGHT1","3","SM","S",2015-08-17 15:16:00,"15:16",2015-09-03 13:30:00,"13:30",17,0,"fishless","WRIGHT","WRIGHT fishless"
"179","WRIGHT1","3","SM","E",2015-08-17 15:16:00,"15:16",2015-09-03 13:30:00,"13:30",17,0,"fishless","WRIGHT","WRIGHT fishless"
"180","WRIGHT1","3","SM","W",2015-08-17 15:16:00,"15:16",2015-09-03 13:30:00,"13:30",17,0,"fishless","WRIGHT","WRIGHT fishless"
